#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_259	3640	5460	+	KLHPPI_03470	66.9	8.6	PF00006.28|ATP-synt_ab, PF02874.26|ATP-synt_ab_N, PF18269.4|T3SS_ATPase_C	PFAM:PF00006.28, PFAM:PF02874.26, PFAM:PF18269.4
contig_259	6469	7212	-	KLHPPI_03480	23.9	4.1		
contig_264	266	1987	-	KLHPPI_03520	65.1	12.0		
contig_267	31	1290	+	KLHPPI_03545	46.1	5.7	PF07973.17|tRNA_SAD	PFAM:PF07973.17
contig_268	978	1670	-	KLHPPI_03560	24.7	11.9		
contig_270	51	545	-	KLHPPI_03575	17.9	7.9	PF01048.23|PNP_UDP_1	PFAM:PF01048.23
contig_271	282	1145	+	KLHPPI_03585	29.3	12.0		
contig_271	1133	1492	+	KLHPPI_03590	12.8	8.8		
contig_272	2409	3035	-	KLHPPI_03615	22.5	4.5		
contig_272	3329	3952	-	KLHPPI_03620	22.0	11.5		
contig_273	194	814	+	KLHPPI_03625	21.7	9.6		
contig_274	292	1293	-	KLHPPI_03645	36.0	4.7		
contig_275	2638	3243	-	KLHPPI_03660	21.0	5.2		
contig_276	3	722	+	KLHPPI_03665	26.2	9.9		
contig_276	1652	2098	-	KLHPPI_03675	15.8	9.3		
contig_277	19	216	+	KLHPPI_03680	7.4	11.7		
contig_278	26	703	-	KLHPPI_03695	25.8	10.4		
contig_278	894	1115	-	KLHPPI_03705	8.5	9.3		
contig_278	1158	1634	-	KLHPPI_03710	18.1	9.2		
contig_278	1641	2651	-	KLHPPI_03715	36.7	9.6	PF01593.27|Amino_oxidase	PFAM:PF01593.27
contig_279	56	1573	+	KLHPPI_03720	52.0	4.9		
contig_279	1573	2037	+	KLHPPI_03725	16.8	5.1	PF00072.27|Response_reg	PFAM:PF00072.27
contig_280	53	316	+	KLHPPI_03730	10.5	11.7		
contig_280	824	988	+	KLHPPI_03735	6.3	11.3		
contig_281	182	337	+	KLHPPI_03745	5.5	5.0		
contig_281	1174	1311	+	KLHPPI_03755	4.9	10.5		
contig_282	142	633	+	KLHPPI_03765	19.6	10.4	PF20169.1|DUF6537	PFAM:PF20169.1
contig_282	600	1625	-	KLHPPI_03770	36.2	4.6		
contig_283	1528	2817	-	KLHPPI_03780	44.7	5.3		
contig_283	3057	3152	-	KLHPPI_03785	3.5	10.5		
contig_284	143	1081	+	KLHPPI_03790	34.1	11.6		
contig_285	226	765	-	KLHPPI_03795	18.6	9.2		
contig_285	762	1454	-	KLHPPI_03800	24.1	9.5	PF07963.15|N_methyl, PF12019.11|GspH	PFAM:PF07963.15, PFAM:PF12019.11
contig_285	1750	2817	+	KLHPPI_03805	39.4	8.2	PF00356.24|LacI, PF00532.24|Peripla_BP_1, PF13377.9|Peripla_BP_3	PFAM:PF00356.24, PFAM:PF00532.24, PFAM:PF13377.9
contig_288	225	1187	+	KLHPPI_03825	34.5	5.5		
contig_290	494	1945	-	KLHPPI_03845	54.8	8.8		
contig_290	1956	2825	-	KLHPPI_03850	32.9	6.4		
contig_296	1021	1596	-	KLHPPI_03925	19.9	9.9		
contig_296	2452	2754	-	KLHPPI_03935	11.0	7.8	PF00557.27|Peptidase_M24	PFAM:PF00557.27
contig_297	239	568	+	KLHPPI_03940	11.5	9.4		
contig_298	74	511	+	KLHPPI_03950	14.8	9.5		
contig_300	62	199	+	KLHPPI_03965	5.1	9.0		
contig_300	3617	3832	-	KLHPPI_03990	8.3	10.6		
contig_301	527	1240	-	KLHPPI_03995	27.3	12.0		
contig_302	42	1592	-	KLHPPI_04015	53.6	4.3		
contig_303	228	518	+	KLHPPI_04020	10.5	11.9		
contig_303	1053	1217	+	KLHPPI_04025	6.2	11.7		
contig_303	2280	2627	-	KLHPPI_04030	12.5	9.5		
contig_304	825	1373	-	KLHPPI_04035	20.6	12.0		
contig_306	9	1343	+	KLHPPI_04045	49.5	6.4	PF08308.14|PEGA	PFAM:PF08308.14
contig_307	245	1075	+	KLHPPI_04055	31.5	9.5		
contig_307	3368	3511	-	KLHPPI_04075	4.9	11.4		
contig_308	3189	3737	-	KLHPPI_04100	18.9	6.4	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_309	5	598	+	KLHPPI_04105	20.9	5.5		
contig_310	71	436	+	KLHPPI_04130	13.3	4.6		
contig_310	523	696	+	KLHPPI_04135	6.1	4.5	PF00037.30|Fer4, PF12797.10|Fer4_2, PF12800.10|Fer4_4, PF12837.10|Fer4_6, PF12838.10|Fer4_7, PF13237.9|Fer4_10, PF13484.9|Fer4_16	PFAM:PF00037.30, PFAM:PF12797.10, PFAM:PF12800.10, PFAM:PF12837.10, PFAM:PF12838.10, PFAM:PF13237.9, PFAM:PF13484.9
contig_310	4902	5036	-	KLHPPI_04160	4.9	4.8		
contig_310	5049	5246	+	KLHPPI_04165	7.8	10.9	PF13586.9|DDE_Tnp_1_2	PFAM:PF13586.9
contig_310	5253	6245	-	KLHPPI_04170	36.7	9.4		
contig_311	706	1812	-	KLHPPI_04180	41.6	9.7		
contig_311	2300	3154	-	KLHPPI_04185	32.6	5.6	PF17851.4|GH43_C2	PFAM:PF17851.4
contig_312	1332	1442	-	KLHPPI_04195	3.9	10.3		
contig_313	101	496	+	KLHPPI_04200	14.5	10.9		
contig_313	537	1100	+	KLHPPI_04205	19.9	10.1	PF13472.9|Lipase_GDSL_2	PFAM:PF13472.9
contig_313	1154	1318	+	KLHPPI_04210	6.0	4.7		
contig_317	3653	4708	-	KLHPPI_04270	37.6	11.3		
contig_319	357	1286	-	KLHPPI_04275	34.7	5.9	PF08241.15|Methyltransf_11, PF13489.9|Methyltransf_23, PF13649.9|Methyltransf_25	PFAM:PF08241.15, PFAM:PF13489.9, PFAM:PF13649.9
contig_320	416	670	+	KLHPPI_04295	9.6	9.1		
contig_320	675	962	+	KLHPPI_04300	10.2	10.6		
contig_320	863	1069	-	KLHPPI_04305	7.8	9.7		
contig_320	1288	1764	-	KLHPPI_04310	16.5	5.8		
contig_321	213	347	+	KLHPPI_04315	4.9	10.8		
contig_321	2579	2974	-	KLHPPI_04325	13.9	5.4		
contig_322	2	547	+	KLHPPI_04330	19.5	9.4	PF00072.27|Response_reg, PF00196.22|GerE, PF08281.15|Sigma70_r4_2	PFAM:PF00072.27, PFAM:PF00196.22, PFAM:PF08281.15
contig_323	1463	2575	-	KLHPPI_04360	40.7	5.9	PF13709.9|DUF4159	PFAM:PF13709.9
contig_324	234	410	-	KLHPPI_04365	6.3	11.7		
contig_324	1661	2722	-	KLHPPI_04375	38.4	5.0		
contig_326	1867	2076	-	KLHPPI_04395	8.1	10.0		
contig_328	54	698	+	KLHPPI_04415	21.9	11.5		
contig_329	12	986	+	KLHPPI_04430	33.8	4.4		
contig_330	145	945	+	KLHPPI_04445	28.8	5.8		
contig_330	1018	1593	-	KLHPPI_04450	20.5	5.4		
contig_331	1691	2335	-	KLHPPI_04460	23.7	6.5	PF00294.27|PfkB	PFAM:PF00294.27
contig_332	240	515	+	KLHPPI_04465	10.7	9.3		
contig_332	512	1186	-	KLHPPI_04470	25.7	5.7		
contig_332	2567	2965	-	KLHPPI_04480	14.1	8.4		
contig_333	24	611	+	KLHPPI_04485	19.8	5.1	PF10282.12|Lactonase	PFAM:PF10282.12
contig_333	624	1655	-	KLHPPI_04490	39.1	7.7		
contig_333	1740	2651	+	KLHPPI_04495	34.5	9.0		
contig_333	3986	4642	-	KLHPPI_04505	23.5	10.0		
contig_334	1249	1515	+	KLHPPI_04520	8.8	9.8		
contig_335	101	619	-	KLHPPI_04525	19.3	9.1		
contig_335	927	1250	+	KLHPPI_04530	12.3	8.8		
contig_335	1247	1474	-	KLHPPI_04535	8.4	10.3		
contig_335	1484	1945	-	KLHPPI_04540	18.1	10.0		
contig_336	179	1024	-	KLHPPI_04545	28.1	4.2		
contig_336	1345	1629	-	KLHPPI_04550	10.5	11.9		
contig_337	91	1374	+	KLHPPI_04555	46.9	5.8		
contig_338	199	1251	+	KLHPPI_04560	38.4	5.8	PF03989.16|DNA_gyraseA_C	PFAM:PF03989.16
contig_338	1193	1984	-	KLHPPI_04565	27.1	4.6		
contig_339	88	504	+	KLHPPI_04570	14.7	12.0		
contig_339	1311	1694	-	KLHPPI_04580	13.9	6.6	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
contig_340	1889	2107	-	KLHPPI_04590	7.5	10.9		
contig_340	2114	2533	-	KLHPPI_04595	15.2	11.6		
contig_343	109	1509	-	KLHPPI_04620	45.1	12.0		
contig_343	1678	1869	-	KLHPPI_04625	6.9	6.5		
contig_344	92	796	+	KLHPPI_04630	26.4	5.1		
contig_345	481	1776	-	KLHPPI_04640	47.5	9.0		
contig_346	7	846	+	KLHPPI_04645	29.8	4.4		
contig_346	1821	2453	-	KLHPPI_04655	22.5	6.0	PF01593.27|Amino_oxidase	PFAM:PF01593.27
contig_347	2176	3111	-	KLHPPI_04670	31.8	4.6		
contig_349	61	192	+	KLHPPI_04685	4.6	11.0		
contig_349	496	711	+	KLHPPI_04690	8.0	12.0		
contig_350	2954	3880	-	KLHPPI_04720	34.7	4.8		
contig_353	2949	4109	+	KLHPPI_04770	44.2	12.0		
contig_355	1585	1983	-	KLHPPI_04785	13.8	5.6	PF00294.27|PfkB	PFAM:PF00294.27
contig_356	1661	1897	-	KLHPPI_04790	8.6	9.5		
contig_357	152	757	+	KLHPPI_04795	20.9	4.8		
contig_357	796	1599	-	KLHPPI_04800	29.8	8.7	PF13641.9|Glyco_tranf_2_3	PFAM:PF13641.9
contig_358	50	931	+	KLHPPI_04805	32.7	9.8	PF00575.26|S1, PF00773.22|RNB	PFAM:PF00575.26, PFAM:PF00773.22
contig_359	168	536	+	KLHPPI_04815	13.5	9.5	PF00231.22|ATP-synt	PFAM:PF00231.22
contig_360	403	690	-	KLHPPI_04825	11.3	11.6		
contig_365	26	1057	+	KLHPPI_04895	37.5	5.8	PF00408.23|PGM_PMM_IV, PF02879.19|PGM_PMM_II, PF02880.19|PGM_PMM_III	PFAM:PF00408.23, PFAM:PF02879.19, PFAM:PF02880.19
contig_366	1130	1576	+	KLHPPI_04905	15.6	11.5		
contig_366	1831	2166	-	KLHPPI_04910	11.6	12.0		
contig_367	90	812	-	KLHPPI_04915	26.7	5.4	PF12705.10|PDDEXK_1	PFAM:PF12705.10
contig_367	809	1618	-	KLHPPI_04920	30.3	5.6		
contig_367	1621	1737	-	KLHPPI_04925	4.2	4.7		
contig_368	256	1179	+	KLHPPI_04930	34.8	8.9		
contig_369	53	646	+	KLHPPI_04935	21.7	5.8		
contig_369	643	1278	+	KLHPPI_04940	23.0	7.8	PF07963.15|N_methyl	PFAM:PF07963.15
contig_369	1316	2443	+	KLHPPI_04945	40.6	5.6	PF13472.9|Lipase_GDSL_2	PFAM:PF13472.9
contig_371	814	1728	+	KLHPPI_04965	32.4	9.6		
contig_374	1248	1454	-	KLHPPI_04995	7.6	9.9		
contig_375	544	1422	-	KLHPPI_05000	33.3	8.8		
contig_376	3912	4121	-	KLHPPI_05025	7.4	11.0	PF02911.21|Formyl_trans_C	PFAM:PF02911.21
contig_377	1687	1914	-	KLHPPI_05035	7.9	9.9		SO:0001217, UniRef:UniRef50_A0A1H2F9J3, UniRef:UniRef90_A0A1H2F9J3
contig_378	105	470	+	KLHPPI_05045	13.4	11.8		
contig_378	561	833	+	KLHPPI_05050	9.8	5.6		
contig_378	2184	3713	-	KLHPPI_05065	55.3	5.4		
contig_379	617	2920	+	KLHPPI_05070	82.2	5.0		
contig_379	3493	4692	-	KLHPPI_05075	40.2	4.1		
contig_379	4878	5273	-	KLHPPI_05080	14.6	12.0		
contig_380	2639	3031	-	KLHPPI_05095	13.4	9.7		
contig_383	203	685	+	KLHPPI_05120	18.2	5.9	PF00331.23|Glyco_hydro_10	PFAM:PF00331.23
contig_383	5149	6294	+	KLHPPI_05160	39.8	5.8	PF12804.10|NTP_transf_3	PFAM:PF12804.10
contig_384	1588	1845	-	KLHPPI_05170	9.9	8.2	PF02742.18|Fe_dep_repr_C	PFAM:PF02742.18
contig_386	4952	5137	-	KLHPPI_05210	6.4	4.4	PF00037.30|Fer4, PF12797.10|Fer4_2, PF12800.10|Fer4_4, PF12837.10|Fer4_6, PF12838.10|Fer4_7, PF13183.9|Fer4_8, PF13237.9|Fer4_10, PF13484.9|Fer4_16, PF14697.9|Fer4_21	PFAM:PF00037.30, PFAM:PF12797.10, PFAM:PF12800.10, PFAM:PF12837.10, PFAM:PF12838.10, PFAM:PF13183.9, PFAM:PF13237.9, PFAM:PF13484.9, PFAM:PF14697.9
contig_388	18	1598	+	KLHPPI_05225	56.5	7.2	PF00158.29|Sigma54_activat, PF00493.26|MCM, PF01078.24|Mg_chelatase, PF05362.16|Lon_C, PF07728.17|AAA_5, PF13541.9|ChlI	PFAM:PF00158.29, PFAM:PF00493.26, PFAM:PF01078.24, PFAM:PF05362.16, PFAM:PF07728.17, PFAM:PF13541.9
contig_389	330	509	-	KLHPPI_05230	6.6	11.9		
contig_390	248	1552	+	KLHPPI_05245	47.0	7.2	PF01568.24|Molydop_binding	PFAM:PF01568.24
contig_390	1639	2685	-	KLHPPI_05250	39.2	5.3		
contig_391	139	228	+	KLHPPI_05255	3.3	5.4		
contig_391	1859	2824	-	KLHPPI_05270	34.7	9.6		
contig_393	68	796	+	KLHPPI_05285	24.6	4.8		
contig_393	1103	1414	-	KLHPPI_05290	11.4	8.2		
contig_394	1511	1609	-	KLHPPI_05300	3.6	4.4		
contig_396	961	1704	-	KLHPPI_05320	26.6	4.9		
contig_398	337	1773	+	KLHPPI_05330	48.5	4.2		
contig_399	735	1046	-	KLHPPI_05340	10.9	9.9		
contig_399	1419	1580	-	KLHPPI_05345	5.6	11.8		
contig_402	550	1686	+	KLHPPI_05365	41.6	9.0		
contig_403	95	361	+	KLHPPI_05370	9.2	9.3		
contig_404	30	188	-	KLHPPI_05390	5.8	9.9		
contig_404	233	1156	-	KLHPPI_05395	33.2	5.7		
contig_405	36	230	+	KLHPPI_05415	7.0	4.3		
contig_405	2352	4169	-	KLHPPI_05430	68.6	5.4	PF01656.26|CbiA, PF06564.15|CBP_BcsQ, PF13614.9|AAA_31	PFAM:PF01656.26, PFAM:PF06564.15, PFAM:PF13614.9
contig_407	476	1180	-	KLHPPI_05435	24.6	4.6		
contig_407	1159	1269	-	KLHPPI_05440	3.9	10.9		
contig_407	1513	1779	-	KLHPPI_05445	10.1	10.3		
contig_408	48	314	+	KLHPPI_05450	10.1	6.5		
contig_410	235	678	+	KLHPPI_05465	15.8	9.5		
contig_410	1158	1799	-	KLHPPI_05470	23.9	6.9	PF13524.9|Glyco_trans_1_2	PFAM:PF13524.9
contig_411	614	1363	+	KLHPPI_05475	25.9	4.2		
contig_412	152	1939	+	KLHPPI_05480	63.5	9.6	PF01035.23|DNA_binding_1, PF02870.18|Methyltransf_1N, PF13428.9|TPR_14, PF13431.9|TPR_17	PFAM:PF01035.23, PFAM:PF02870.18, PFAM:PF13428.9, PFAM:PF13431.9
contig_414	98	250	+	KLHPPI_05500	5.5	5.1	PF04545.19|Sigma70_r4, PF08281.15|Sigma70_r4_2	PFAM:PF04545.19, PFAM:PF08281.15
contig_414	292	711	+	KLHPPI_05505	15.4	10.8		
contig_414	696	1283	+	KLHPPI_05510	21.1	9.5		
contig_415	73	1239	+	KLHPPI_05525	43.1	5.1		
contig_416	192	1973	+	KLHPPI_05545	63.6	6.7	PF00595.27|PDZ, PF17804.4|TSP_NTD	PFAM:PF00595.27, PFAM:PF17804.4
contig_417	2298	2639	-	KLHPPI_05560	12.5	11.8		
contig_418	12	722	-	KLHPPI_05565	26.9	12.0		
contig_418	1592	2116	-	KLHPPI_05570	19.0	5.9	PF03734.17|YkuD	PFAM:PF03734.17
contig_418	2609	3799	-	KLHPPI_05575	41.7	4.7		
contig_419	1552	1878	+	KLHPPI_05585	11.6	8.9	PF00543.25|P-II	PFAM:PF00543.25
contig_419	2260	2907	-	KLHPPI_05595	21.9	4.5		
contig_420	37	1635	+	KLHPPI_05600	55.9	4.4		
contig_422	29	841	+	KLHPPI_05620	31.1	9.9	PF00487.27|FA_desaturase	PFAM:PF00487.27
contig_424	209	997	+	KLHPPI_05630	28.8	11.3		
contig_424	984	2009	-	KLHPPI_05635	36.8	6.4		
contig_424	2006	2992	-	KLHPPI_05640	37.0	6.0	PF02894.20|GFO_IDH_MocA_C, PF03447.19|NAD_binding_3	PFAM:PF02894.20, PFAM:PF03447.19
contig_424	3085	3807	-	KLHPPI_05645	25.9	4.8	PF06452.14|CBM9_1	PFAM:PF06452.14
contig_425	189	398	-	KLHPPI_05650	7.7	9.8		
contig_425	1106	1729	-	KLHPPI_05665	21.5	9.3		
contig_426	3321	3644	-	KLHPPI_05685	11.3	4.4		
contig_427	392	1036	+	KLHPPI_05690	23.0	6.0	PF19304.2|PGDH_inter	PFAM:PF19304.2
contig_429	44	277	+	KLHPPI_05705	8.7	5.4		
contig_429	1778	3007	-	KLHPPI_05715	43.1	4.1		
contig_430	1199	1396	+	KLHPPI_05730	7.5	4.6		
contig_431	5	226	+	KLHPPI_05735	7.7	11.8		
contig_431	1437	2192	-	KLHPPI_05750	26.9	5.1		
contig_432	326	1288	+	KLHPPI_05755	31.8	4.1		
contig_432	1336	2298	-	KLHPPI_05760	34.2	5.3		
contig_433	306	1487	-	KLHPPI_05765	40.9	4.2		
contig_434	5	94	+	KLHPPI_05770	3.4	10.0		
contig_435	344	676	+	KLHPPI_05785	12.2	11.6		
contig_437	391	828	-	KLHPPI_05810	16.1	9.8		
contig_438	1918	2256	-	KLHPPI_05840	12.9	9.9	PF02621.17|VitK2_biosynth	PFAM:PF02621.17
contig_439	57	272	+	KLHPPI_05845	8.0	6.1		
contig_440	1174	1533	-	KLHPPI_05875	12.6	9.8		
contig_443	874	1245	+	KLHPPI_05915	13.4	10.7	PF01381.25|HTH_3, PF13560.9|HTH_31	PFAM:PF01381.25, PFAM:PF13560.9
contig_444	101	493	+	KLHPPI_05925	15.0	4.9	PF16363.8|GDP_Man_Dehyd	PFAM:PF16363.8
contig_445	306	1067	+	KLHPPI_05935	28.4	12.0		
contig_445	1060	1908	-	KLHPPI_05940	31.6	6.0		
contig_445	1948	2271	-	KLHPPI_05945	11.9	10.0		
contig_446	1280	1768	-	KLHPPI_05955	18.2	10.2		
contig_446	1812	2210	+	KLHPPI_05960	13.9	10.9		
contig_447	90	950	+	KLHPPI_05970	31.8	9.0		
contig_447	1311	2093	+	KLHPPI_05975	28.3	5.9		
contig_448	70	1275	+	KLHPPI_05980	43.7	5.9		
contig_448	1254	1922	-	KLHPPI_05985	24.0	4.7		
contig_450	90	1076	+	KLHPPI_05995	36.3	5.3		
contig_451	423	743	+	KLHPPI_06005	12.0	5.4		
contig_452	1788	1961	+	KLHPPI_06020	6.1	9.4		
contig_453	215	382	+	KLHPPI_06025	6.1	9.2		
contig_454	98	199	+	KLHPPI_06045	3.8	8.3	PF06429.16|Flg_bbr_C	PFAM:PF06429.16
contig_455	14	232	+	KLHPPI_06070	7.7	6.7		
contig_455	174	1658	-	KLHPPI_06075	50.7	4.4		
contig_456	3680	4120	-	KLHPPI_06095	16.3	9.2		
contig_457	3	1307	+	KLHPPI_06100	46.3	6.2	PF13177.9|DNA_pol3_delta2	PFAM:PF13177.9
contig_458	311	1507	-	KLHPPI_06120	42.3	4.5		
contig_460	1130	1339	-	KLHPPI_06145	7.5	6.7		
contig_461	628	1413	+	KLHPPI_06150	29.0	10.8		
contig_461	1650	2069	-	KLHPPI_06155	15.1	9.5		
contig_461	2066	3349	-	KLHPPI_06160	46.6	9.8		
contig_461	5143	5643	-	KLHPPI_06175	18.3	9.8	PF00348.20|polyprenyl_synt	PFAM:PF00348.20
contig_462	68	1165	+	KLHPPI_06180	40.8	10.2		
contig_462	1366	1767	-	KLHPPI_06185	14.9	12.0		
contig_463	145	891	-	KLHPPI_06190	28.9	12.0		
contig_465	1677	2585	-	KLHPPI_06215	32.1	4.5		
contig_466	1842	2264	-	KLHPPI_06225	15.8	6.6	PF01850.24|PIN	PFAM:PF01850.24
contig_466	2261	2491	-	KLHPPI_06230	8.3	5.6		
contig_467	1398	1802	+	KLHPPI_06245	13.6	9.3	PF00034.24|Cytochrom_C, PF13442.9|Cytochrome_CBB3	PFAM:PF00034.24, PFAM:PF13442.9
contig_467	6016	6150	-	KLHPPI_06270	4.6	10.6		
contig_467	8847	9938	-	KLHPPI_06280	39.0	6.2		
contig_468	21	152	+	KLHPPI_06285	5.0	12.0		
contig_468	2300	3184	-	KLHPPI_06295	32.0	5.9	PF02491.23|SHS2_FTSA, PF14450.9|FtsA	PFAM:PF02491.23, PFAM:PF14450.9
contig_470	832	1599	-	KLHPPI_06325	28.3	6.3	PF01068.24|DNA_ligase_A_M	PFAM:PF01068.24
contig_471	951	1241	-	KLHPPI_06335	11.4	8.6		
contig_471	1665	2015	-	KLHPPI_06340	13.3	11.3		
contig_471	2028	2339	-	KLHPPI_06345	11.2	11.8		
contig_472	148	570	+	KLHPPI_06350	15.3	7.0		
contig_474	2924	3322	-	KLHPPI_06395	14.5	4.6		
contig_475	4763	5170	-	KLHPPI_06420	15.8	10.0	PF10431.12|ClpB_D2-small	PFAM:PF10431.12
contig_476	2629	3945	-	KLHPPI_06430	43.9	4.1		
contig_477	295	1401	-	KLHPPI_06435	39.2	5.8	PF03120.19|DNA_ligase_OB, PF12826.10|HHH_2, PF14520.9|HHH_5	PFAM:PF03120.19, PFAM:PF12826.10, PFAM:PF14520.9
contig_478	118	333	+	KLHPPI_06440	8.1	12.0		
contig_479	1670	2056	-	KLHPPI_06460	14.1	9.7		
contig_481	147	1256	+	KLHPPI_06470	40.3	5.1		
contig_481	2065	2427	-	KLHPPI_06480	12.9	4.7		
contig_482	2302	3042	-	KLHPPI_06495	27.4	12.0		
contig_483	735	1121	-	KLHPPI_06505	14.4	9.7		
contig_484	672	1610	+	KLHPPI_06515	35.2	8.4		
contig_484	1607	2476	+	KLHPPI_06520	32.8	9.1		
contig_484	2636	2956	-	KLHPPI_06525	11.9	12.0		
contig_485	516	1277	+	KLHPPI_06530	26.9	6.4	PF00072.27|Response_reg, PF02518.29|HATPase_c	PFAM:PF00072.27, PFAM:PF02518.29
contig_486	303	2441	-	KLHPPI_06545	70.6	4.7		
contig_486	2530	3771	-	KLHPPI_06550	44.5	5.6	PF03629.21|SASA	PFAM:PF03629.21
contig_489	45	173	+	KLHPPI_06580	4.7	7.9		
contig_489	1297	1923	-	KLHPPI_06590	23.2	8.3		
contig_490	463	1074	-	KLHPPI_06595	22.7	5.7		
contig_492	5	322	+	KLHPPI_06615	11.5	5.7		
contig_494	13	327	+	KLHPPI_06650	10.5	10.4		
contig_496	97	237	+	KLHPPI_06680	4.8	9.2		
contig_497	12	254	-	KLHPPI_06690	8.7	11.6		
contig_497	408	581	-	KLHPPI_06695	6.3	10.9		
contig_497	1089	1436	-	KLHPPI_06700	12.2	5.2		
contig_497	1488	1733	-	KLHPPI_06705	9.2	11.8		
contig_500	42	1034	+	KLHPPI_06720	35.0	5.6		
contig_501	12	767	+	KLHPPI_06730	28.1	5.4		
contig_501	2916	3035	-	KLHPPI_06750	4.1	9.7		
contig_502	1097	1879	-	KLHPPI_06760	27.9	11.0		
contig_502	1890	2027	-	KLHPPI_06765	5.1	8.0		
contig_503	171	2141	-	KLHPPI_06770	71.8	7.2		
contig_504	3	692	+	KLHPPI_06775	25.1	5.8		
contig_505	130	360	+	KLHPPI_06780	8.1	5.7	PF02801.25|Ketoacyl-synt_C	PFAM:PF02801.25
contig_505	2920	3396	-	KLHPPI_06800	17.5	12.0		
contig_508	1492	1710	+	KLHPPI_06845	8.0	10.2	PF12728.10|HTH_17	PFAM:PF12728.10
contig_509	21	950	+	KLHPPI_06850	33.3	4.6		
contig_510	1234	2199	-	KLHPPI_06865	34.7	5.2	PF00072.27|Response_reg	PFAM:PF00072.27
contig_511	38	247	+	KLHPPI_06870	6.8	12.0		
contig_511	247	558	+	KLHPPI_06875	11.6	10.1		
contig_511	2645	3151	-	KLHPPI_06895	18.6	9.1		
contig_512	227	739	+	KLHPPI_06900	18.9	8.4		
contig_513	15	245	+	KLHPPI_06910	9.0	11.9		
contig_514	266	418	+	KLHPPI_06930	5.3	9.7		
contig_516	22	267	+	KLHPPI_06965	9.2	11.7		
contig_517	2852	3790	+	KLHPPI_07005	33.5	4.3		
contig_518	72	782	-	KLHPPI_07015	26.9	6.0	PF02055.19|Glyco_hydro_30	PFAM:PF02055.19
contig_518	816	1517	-	KLHPPI_07020	25.0	5.4		
contig_518	1637	2683	+	KLHPPI_07025	40.3	9.8	PF00356.24|LacI, PF13377.9|Peripla_BP_3	PFAM:PF00356.24, PFAM:PF13377.9
contig_519	110	256	+	KLHPPI_07035	4.9	10.8		
contig_520	55	501	+	KLHPPI_07065	15.8	8.4	PF00107.29|ADH_zinc_N	PFAM:PF00107.29
contig_520	2739	3527	+	KLHPPI_07080	28.0	5.8	PF14235.9|DUF4337	PFAM:PF14235.9
contig_521	28	726	+	KLHPPI_07090	24.5	8.4	PF01262.24|AlaDh_PNT_C, PF02826.22|2-Hacid_dh_C	PFAM:PF01262.24, PFAM:PF02826.22
contig_521	2711	2977	-	KLHPPI_07105	9.7	5.1		
contig_523	92	1429	+	KLHPPI_07115	49.0	5.8		
contig_524	50	1732	+	KLHPPI_07120	62.4	6.8	PF00515.31|TPR_1, PF03704.20|BTAD, PF07719.20|TPR_2, PF13174.9|TPR_6, PF13176.9|TPR_7, PF13181.9|TPR_8, PF13374.9|TPR_10, PF13414.9|TPR_11, PF13424.9|TPR_12, PF13428.9|TPR_14, PF13431.9|TPR_17, PF13432.9|TPR_16, PF14559.9|TPR_19	PFAM:PF00515.31, PFAM:PF03704.20, PFAM:PF07719.20, PFAM:PF13174.9, PFAM:PF13176.9, PFAM:PF13181.9, PFAM:PF13374.9, PFAM:PF13414.9, PFAM:PF13424.9, PFAM:PF13428.9, PFAM:PF13431.9, PFAM:PF13432.9, PFAM:PF14559.9
contig_525	58	792	+	KLHPPI_07125	25.5	9.1		
contig_527	178	432	+	KLHPPI_07140	8.9	9.8		
contig_529	89	1102	+	KLHPPI_07175	35.9	9.2	PF13650.9|Asp_protease_2, PF13975.9|gag-asp_proteas	PFAM:PF13650.9, PFAM:PF13975.9
contig_529	1115	1942	-	KLHPPI_07180	31.7	6.0		
contig_531	49	417	+	KLHPPI_07190	13.8	12.0		
contig_531	478	729	+	KLHPPI_07195	9.1	12.0		
contig_533	23	1030	+	KLHPPI_07210	37.0	9.7		
contig_533	2083	2385	-	KLHPPI_07220	10.7	11.2	PF09374.13|PG_binding_3	PFAM:PF09374.13
contig_534	454	2388	-	KLHPPI_07225	72.1	5.5	PF16889.8|Hepar_II_III_N	PFAM:PF16889.8
contig_534	2395	5031	-	KLHPPI_07230	95.7	5.4	PF00331.23|Glyco_hydro_10	PFAM:PF00331.23
contig_534	5040	5642	-	KLHPPI_07235	20.8	5.0		
contig_535	1757	2551	-	KLHPPI_07245	28.4	4.8		
contig_535	2585	2854	-	KLHPPI_07250	10.0	4.9		
contig_536	991	1371	-	KLHPPI_07260	13.8	4.9		
contig_539	3226	3894	-	KLHPPI_07285	23.0	5.9		
contig_540	107	1342	+	KLHPPI_07295	45.2	9.8	PF13495.9|Phage_int_SAM_4	PFAM:PF13495.9
contig_540	1398	2162	+	KLHPPI_07300	27.6	8.6	PF08843.14|AbiEii	PFAM:PF08843.14
