locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIDNPDGF_00260	gene	2613	rcsC_3			
NIDNPDGF_00260	CDS	2613	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
NIDNPDGF_00261	gene	86				
NIDNPDGF_00261	tRNA	86				tRNA-Tyr(gta)
NIDNPDGF_00262	gene	396				
NIDNPDGF_00262	CDS	396				hypothetical protein
NIDNPDGF_00263	gene	186				
NIDNPDGF_00263	CDS	186				hypothetical protein
NIDNPDGF_00264	gene	1062	recJ			
NIDNPDGF_00264	CDS	1062	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NIDNPDGF_00265	gene	912				
NIDNPDGF_00265	CDS	912				hypothetical protein
NIDNPDGF_00266	gene	1152				
NIDNPDGF_00266	CDS	1152				hypothetical protein
NIDNPDGF_00267	gene	1008	ruvB			
NIDNPDGF_00267	CDS	1008	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NIDNPDGF_00268	gene	198				
NIDNPDGF_00268	CDS	198				hypothetical protein
NIDNPDGF_00269	gene	1026				
NIDNPDGF_00269	CDS	1026				hypothetical protein
NIDNPDGF_00270	gene	927	mshA_1			
NIDNPDGF_00270	CDS	927	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
NIDNPDGF_00271	gene	1863	asnB			
NIDNPDGF_00271	CDS	1863	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
NIDNPDGF_00272	gene	75				
NIDNPDGF_00272	tRNA	75				tRNA-Arg(tct)
NIDNPDGF_00273	gene	756				
NIDNPDGF_00273	CDS	756				hypothetical protein
NIDNPDGF_00274	gene	1158				
NIDNPDGF_00274	CDS	1158				hypothetical protein
NIDNPDGF_00275	gene	333				
NIDNPDGF_00275	CDS	333				hypothetical protein
NIDNPDGF_00276	gene	1215				
NIDNPDGF_00276	CDS	1215				hypothetical protein
NIDNPDGF_00277	gene	795				
NIDNPDGF_00277	CDS	795				hypothetical protein
NIDNPDGF_00278	gene	1122	tdh_1			
NIDNPDGF_00278	CDS	1122	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
NIDNPDGF_00279	gene	1056	gatD			
NIDNPDGF_00279	CDS	1056	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
NIDNPDGF_00280	gene	546				
NIDNPDGF_00280	CDS	546				hypothetical protein
NIDNPDGF_00281	gene	1698				
NIDNPDGF_00281	CDS	1698				hypothetical protein
NIDNPDGF_00282	gene	423				
NIDNPDGF_00282	CDS	423				hypothetical protein
NIDNPDGF_00283	gene	1089				
NIDNPDGF_00283	CDS	1089				hypothetical protein
NIDNPDGF_00284	gene	444				
NIDNPDGF_00284	CDS	444				hypothetical protein
NIDNPDGF_00285	gene	339				
NIDNPDGF_00285	CDS	339				hypothetical protein
NIDNPDGF_00286	gene	2037	ugtP_1			
NIDNPDGF_00286	CDS	2037	ugtP_1	2.4.1.315		Processive diacylglycerol beta-glucosyltransferase
NIDNPDGF_00287	gene	699	gph_1			
NIDNPDGF_00287	CDS	699	gph_1	3.1.3.18		Phosphoglycolate phosphatase
NIDNPDGF_00288	gene	765				
NIDNPDGF_00288	CDS	765				hypothetical protein
NIDNPDGF_00289	gene	1158	xdh_1			
NIDNPDGF_00289	CDS	1158	xdh_1	1.1.1.179		D-xylose dehydrogenase
NIDNPDGF_00290	gene	528				
NIDNPDGF_00290	CDS	528				hypothetical protein
NIDNPDGF_00291	gene	1116				
NIDNPDGF_00291	CDS	1116				hypothetical protein
NIDNPDGF_00292	gene	1137				
NIDNPDGF_00292	CDS	1137				hypothetical protein
NIDNPDGF_00293	gene	1017				
NIDNPDGF_00293	CDS	1017				hypothetical protein
NIDNPDGF_00294	gene	894				
NIDNPDGF_00294	CDS	894				hypothetical protein
NIDNPDGF_00295	gene	312	rplU			
NIDNPDGF_00295	CDS	312	rplU		COG0261	50S ribosomal protein L21
NIDNPDGF_00296	gene	252	rpmA			
NIDNPDGF_00296	CDS	252	rpmA		COG0211	50S ribosomal protein L27
NIDNPDGF_00297	gene	1107	obg			
NIDNPDGF_00297	CDS	1107	obg	3.6.5.-		GTPase Obg
NIDNPDGF_00298	gene	648				
NIDNPDGF_00298	CDS	648				hypothetical protein
NIDNPDGF_00299	gene	804				
NIDNPDGF_00299	CDS	804				hypothetical protein
NIDNPDGF_00300	gene	456				
NIDNPDGF_00300	CDS	456				hypothetical protein
NIDNPDGF_00301	gene	876				
NIDNPDGF_00301	CDS	876				hypothetical protein
NIDNPDGF_00302	gene	765	tolQ_1			
NIDNPDGF_00302	CDS	765	tolQ_1			Tol-Pal system protein TolQ
NIDNPDGF_00303	gene	531	tolR			
NIDNPDGF_00303	CDS	531	tolR			Tol-Pal system protein TolR
NIDNPDGF_00304	gene	1296				
NIDNPDGF_00304	CDS	1296				hypothetical protein
NIDNPDGF_00305	gene	357	argG			
NIDNPDGF_00305	CDS	357	argG	6.3.4.5	COG0137	Argininosuccinate synthase
NIDNPDGF_00306	gene	237				
NIDNPDGF_00306	CDS	237				hypothetical protein
NIDNPDGF_00307	gene	531				
NIDNPDGF_00307	CDS	531				hypothetical protein
NIDNPDGF_00308	gene	144				
NIDNPDGF_00308	CDS	144				hypothetical protein
NIDNPDGF_00309	gene	315				
NIDNPDGF_00309	CDS	315				hypothetical protein
NIDNPDGF_00310	gene	282				
NIDNPDGF_00310	CDS	282				hypothetical protein
NIDNPDGF_00311	gene	249				
NIDNPDGF_00311	CDS	249				hypothetical protein
NIDNPDGF_00312	gene	1050	moaA_1			
NIDNPDGF_00312	CDS	1050	moaA_1	4.1.99.22		GTP 3',8-cyclase
NIDNPDGF_00313	gene	1176				
NIDNPDGF_00313	CDS	1176				hypothetical protein
NIDNPDGF_00314	gene	396	cckA_2			
NIDNPDGF_00314	CDS	396	cckA_2			Sensor kinase CckA
NIDNPDGF_00315	gene	522				
NIDNPDGF_00315	CDS	522				hypothetical protein
NIDNPDGF_00316	gene	276				
NIDNPDGF_00316	CDS	276				hypothetical protein
NIDNPDGF_00317	gene	585	algU			
NIDNPDGF_00317	CDS	585	algU		COG1595	RNA polymerase sigma-H factor
NIDNPDGF_00318	gene	1023				
NIDNPDGF_00318	CDS	1023				hypothetical protein
NIDNPDGF_00319	gene	1209	argD			
NIDNPDGF_00319	CDS	1209	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
NIDNPDGF_00320	gene	564	resA_2			
NIDNPDGF_00320	CDS	564	resA_2			Thiol-disulfide oxidoreductase ResA
NIDNPDGF_00321	gene	1398	lpd_1			
NIDNPDGF_00321	CDS	1398	lpd_1	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
NIDNPDGF_00322	gene	612	puuR			
NIDNPDGF_00322	CDS	612	puuR			HTH-type transcriptional regulator PuuR
NIDNPDGF_00323	gene	354				
NIDNPDGF_00323	CDS	354				hypothetical protein
NIDNPDGF_00324	gene	195				
NIDNPDGF_00324	CDS	195				hypothetical protein
NIDNPDGF_00325	gene	492				
NIDNPDGF_00325	CDS	492				hypothetical protein
NIDNPDGF_00326	gene	615				
NIDNPDGF_00326	CDS	615				hypothetical protein
NIDNPDGF_00327	gene	177				
NIDNPDGF_00327	CDS	177				hypothetical protein
NIDNPDGF_00328	gene	933	nadK			
NIDNPDGF_00328	CDS	933	nadK	2.7.1.23		NAD kinase
NIDNPDGF_00329	gene	459	fruA			
NIDNPDGF_00329	CDS	459	fruA		COG1299	PTS system fructose-specific EIIABC component
NIDNPDGF_00330	gene	852	atpB_1			
NIDNPDGF_00330	CDS	852	atpB_1		COG0356	ATP synthase subunit a
NIDNPDGF_00331	gene	210	atpH			
NIDNPDGF_00331	CDS	210	atpH			ATP synthase subunit c
NIDNPDGF_00332	gene	573	atpF			
NIDNPDGF_00332	CDS	573	atpF			ATP synthase subunit b
NIDNPDGF_00333	gene	921	potE			
NIDNPDGF_00333	CDS	921	potE			Putrescine transporter PotE
NIDNPDGF_00334	gene	759				
NIDNPDGF_00334	CDS	759				hypothetical protein
NIDNPDGF_00335	gene	984	yidC			
NIDNPDGF_00335	CDS	984	yidC			Membrane protein insertase YidC
NIDNPDGF_00336	gene	363				
NIDNPDGF_00336	CDS	363				hypothetical protein
NIDNPDGF_00337	gene	882	cheB_1			
NIDNPDGF_00337	CDS	882	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
NIDNPDGF_00338	gene	1521	crtI			
NIDNPDGF_00338	CDS	1521	crtI	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
NIDNPDGF_00339	gene	495				
NIDNPDGF_00339	CDS	495				hypothetical protein
NIDNPDGF_00340	gene	1068	greA			
NIDNPDGF_00340	CDS	1068	greA			Transcription elongation factor GreA
NIDNPDGF_00341	gene	468				
NIDNPDGF_00341	CDS	468				hypothetical protein
NIDNPDGF_00342	gene	1827				
NIDNPDGF_00342	CDS	1827				hypothetical protein
NIDNPDGF_00343	gene	4170	lacZ			
NIDNPDGF_00343	CDS	4170	lacZ	3.2.1.23		Beta-galactosidase
NIDNPDGF_00344	gene	1083	purR_1			
NIDNPDGF_00344	CDS	1083	purR_1			HTH-type transcriptional repressor PurR
NIDNPDGF_00345	gene	555				
NIDNPDGF_00345	CDS	555				hypothetical protein
NIDNPDGF_00346	gene	978	nrnA			
NIDNPDGF_00346	CDS	978	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
NIDNPDGF_00347	gene	372				
NIDNPDGF_00347	CDS	372				hypothetical protein
NIDNPDGF_00348	gene	1827				
NIDNPDGF_00348	CDS	1827		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
NIDNPDGF_00349	gene	2349				
NIDNPDGF_00349	CDS	2349				hypothetical protein
NIDNPDGF_00350	gene	714				
NIDNPDGF_00350	CDS	714				hypothetical protein
NIDNPDGF_00351	gene	669				
NIDNPDGF_00351	CDS	669				hypothetical protein
NIDNPDGF_00352	gene	432	exbD			
NIDNPDGF_00352	CDS	432	exbD		COG0848	Biopolymer transport protein ExbD
NIDNPDGF_00353	gene	210	tolQ_2			
NIDNPDGF_00353	CDS	210	tolQ_2			Tol-Pal system protein TolQ
NIDNPDGF_00354	gene	741	trxB			
NIDNPDGF_00354	CDS	741	trxB	1.8.1.9	COG0492	Thioredoxin reductase
NIDNPDGF_00355	gene	654	rdgB			
NIDNPDGF_00355	CDS	654	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
NIDNPDGF_00356	gene	2634	leuS			
NIDNPDGF_00356	CDS	2634	leuS	6.1.1.4		Leucine--tRNA ligase
NIDNPDGF_00357	gene	177				
NIDNPDGF_00357	CDS	177				hypothetical protein
NIDNPDGF_00358	gene	504				
NIDNPDGF_00358	CDS	504				hypothetical protein
NIDNPDGF_00359	gene	633				
NIDNPDGF_00359	CDS	633				hypothetical protein
NIDNPDGF_00360	gene	993				
NIDNPDGF_00360	CDS	993				hypothetical protein
NIDNPDGF_00361	gene	798				
NIDNPDGF_00361	CDS	798				hypothetical protein
NIDNPDGF_00362	gene	1269	aer			
NIDNPDGF_00362	CDS	1269	aer		COG0840	Aerotaxis receptor
NIDNPDGF_00363	gene	552				
NIDNPDGF_00363	CDS	552				hypothetical protein
NIDNPDGF_00364	gene	1383	miaB			
NIDNPDGF_00364	CDS	1383	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NIDNPDGF_00365	gene	795				
NIDNPDGF_00365	CDS	795			COG4398	putative protein
NIDNPDGF_00366	gene	324				
NIDNPDGF_00366	CDS	324				hypothetical protein
NIDNPDGF_00367	gene	954	nth			
NIDNPDGF_00367	CDS	954	nth	4.2.99.18		Endonuclease III
NIDNPDGF_00368	gene	168				
NIDNPDGF_00368	CDS	168				hypothetical protein
NIDNPDGF_00369	gene	657	atpG_1			
NIDNPDGF_00369	CDS	657	atpG_1			ATP synthase gamma chain
NIDNPDGF_00370	gene	378				
NIDNPDGF_00370	CDS	378				hypothetical protein
NIDNPDGF_00371	gene	384				
NIDNPDGF_00371	CDS	384				hypothetical protein
NIDNPDGF_00372	gene	429				
NIDNPDGF_00372	CDS	429				hypothetical protein
NIDNPDGF_00373	gene	864				
NIDNPDGF_00373	CDS	864				hypothetical protein
NIDNPDGF_00374	gene	264				
NIDNPDGF_00374	CDS	264				hypothetical protein
NIDNPDGF_00375	gene	168				
NIDNPDGF_00375	CDS	168				hypothetical protein
NIDNPDGF_00376	gene	684				
NIDNPDGF_00376	CDS	684				hypothetical protein
NIDNPDGF_00377	gene	558				
NIDNPDGF_00377	CDS	558				hypothetical protein
NIDNPDGF_00378	gene	933	miaA			
NIDNPDGF_00378	CDS	933	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
NIDNPDGF_00379	gene	789	panB			
NIDNPDGF_00379	CDS	789	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
NIDNPDGF_00380	gene	984				
NIDNPDGF_00380	CDS	984				hypothetical protein
NIDNPDGF_00381	gene	717				
NIDNPDGF_00381	CDS	717				hypothetical protein
NIDNPDGF_00382	gene	369	kcsA			
NIDNPDGF_00382	CDS	369	kcsA			pH-gated potassium channel KcsA
NIDNPDGF_00383	gene	231				
NIDNPDGF_00383	CDS	231				hypothetical protein
NIDNPDGF_00384	gene	528				
NIDNPDGF_00384	CDS	528				hypothetical protein
NIDNPDGF_00385	gene	627	iolS_2			
NIDNPDGF_00385	CDS	627	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
NIDNPDGF_00386	gene	561	frr			
NIDNPDGF_00386	CDS	561	frr		COG0233	Ribosome-recycling factor
NIDNPDGF_00387	gene	318				
NIDNPDGF_00387	CDS	318				hypothetical protein
NIDNPDGF_00388	gene	783				
NIDNPDGF_00388	CDS	783				hypothetical protein
NIDNPDGF_00389	gene	702	pyrF			
NIDNPDGF_00389	CDS	702	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
NIDNPDGF_00390	gene	864	ispE			
NIDNPDGF_00390	CDS	864	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NIDNPDGF_00391	gene	1020	gcvT			
NIDNPDGF_00391	CDS	1020	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
NIDNPDGF_00392	gene	390	gcvH			
NIDNPDGF_00392	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
NIDNPDGF_00393	gene	2859				
NIDNPDGF_00393	CDS	2859				hypothetical protein
NIDNPDGF_00394	gene	1008				
NIDNPDGF_00394	CDS	1008				hypothetical protein
NIDNPDGF_00395	gene	672				
NIDNPDGF_00395	CDS	672				hypothetical protein
NIDNPDGF_00396	gene	2142				
NIDNPDGF_00396	CDS	2142				hypothetical protein
NIDNPDGF_00397	gene	420				
NIDNPDGF_00397	CDS	420				hypothetical protein
NIDNPDGF_00398	gene	288				
NIDNPDGF_00398	CDS	288				hypothetical protein
NIDNPDGF_00399	gene	597	rpoE			
NIDNPDGF_00399	CDS	597	rpoE		COG1595	ECF RNA polymerase sigma-E factor
NIDNPDGF_00400	gene	654				
NIDNPDGF_00400	CDS	654				hypothetical protein
NIDNPDGF_00401	gene	768	rph			
NIDNPDGF_00401	CDS	768	rph	2.7.7.56	COG0689	Ribonuclease PH
NIDNPDGF_00402	gene	2073	aas			
NIDNPDGF_00402	CDS	2073	aas	6.2.1.20		Bifunctional protein Aas
NIDNPDGF_00403	gene	450				
NIDNPDGF_00403	CDS	450				hypothetical protein
NIDNPDGF_00404	gene	762				
NIDNPDGF_00404	CDS	762				hypothetical protein
NIDNPDGF_00405	gene	999				
NIDNPDGF_00405	CDS	999				hypothetical protein
NIDNPDGF_00406	gene	1404	allB			
NIDNPDGF_00406	CDS	1404	allB	3.5.2.5	COG0044	Allantoinase
NIDNPDGF_00407	gene	534				
NIDNPDGF_00407	CDS	534		3.2.1.-	COG1388	Autolysin
NIDNPDGF_00408	gene	1173	ftsW			
NIDNPDGF_00408	CDS	1173	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
NIDNPDGF_00409	gene	102				
NIDNPDGF_00409	CDS	102				hypothetical protein
NIDNPDGF_00410	gene	1263				
NIDNPDGF_00410	CDS	1263				hypothetical protein
NIDNPDGF_00411	gene	1275	secA			
NIDNPDGF_00411	CDS	1275	secA		COG0653	Protein translocase subunit SecA
NIDNPDGF_00412	gene	1236	pncC			
NIDNPDGF_00412	CDS	1236	pncC	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
NIDNPDGF_00413	gene	1125	recA			
NIDNPDGF_00413	CDS	1125	recA		COG0468	Protein RecA
NIDNPDGF_00414	gene	882				
NIDNPDGF_00414	CDS	882				hypothetical protein
NIDNPDGF_00415	gene	957				
NIDNPDGF_00415	CDS	957				hypothetical protein
NIDNPDGF_00416	gene	1011				
NIDNPDGF_00416	CDS	1011				hypothetical protein
NIDNPDGF_00417	gene	486	speA			
NIDNPDGF_00417	CDS	486	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
NIDNPDGF_00418	gene	924	cyoE			
NIDNPDGF_00418	CDS	924	cyoE	2.5.1.141		Protoheme IX farnesyltransferase
NIDNPDGF_00419	gene	903	ctaA			
NIDNPDGF_00419	CDS	903	ctaA	1.3.-.-		Heme A synthase
NIDNPDGF_00420	gene	1674	rcsC_4			
NIDNPDGF_00420	CDS	1674	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
NIDNPDGF_00421	gene	429				
NIDNPDGF_00421	CDS	429				hypothetical protein
NIDNPDGF_00422	gene	294				
NIDNPDGF_00422	CDS	294				hypothetical protein
NIDNPDGF_00423	gene	825				
NIDNPDGF_00423	CDS	825				hypothetical protein
NIDNPDGF_00424	gene	1161	nifS_1			
NIDNPDGF_00424	CDS	1161	nifS_1	2.8.1.7	COG1104	Cysteine desulfurase NifS
NIDNPDGF_00425	gene	507	iscU			
NIDNPDGF_00425	CDS	507	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
NIDNPDGF_00426	gene	351				
NIDNPDGF_00426	CDS	351				hypothetical protein
NIDNPDGF_00427	gene	267				
NIDNPDGF_00427	CDS	267				hypothetical protein
NIDNPDGF_00428	gene	819	bepA_1			
NIDNPDGF_00428	CDS	819	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
NIDNPDGF_00429	gene	1509				
NIDNPDGF_00429	CDS	1509				hypothetical protein
NIDNPDGF_00430	gene	1182				
NIDNPDGF_00430	CDS	1182				hypothetical protein
NIDNPDGF_00431	gene	2067	carB			
NIDNPDGF_00431	CDS	2067	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
NIDNPDGF_00432	gene	1158	dnaJ			
NIDNPDGF_00432	CDS	1158	dnaJ		COG0484	Chaperone protein DnaJ
NIDNPDGF_00433	gene	1974	btuB			
NIDNPDGF_00433	CDS	1974	btuB			Vitamin B12 transporter BtuB
NIDNPDGF_00434	gene	573				
NIDNPDGF_00434	CDS	573				hypothetical protein
NIDNPDGF_00435	gene	303				
NIDNPDGF_00435	CDS	303				hypothetical protein
NIDNPDGF_00436	gene	303				
NIDNPDGF_00436	CDS	303				hypothetical protein
NIDNPDGF_00437	gene	1527	ttdT			
NIDNPDGF_00437	CDS	1527	ttdT		COG0471	L-tartrate/succinate antiporter
NIDNPDGF_00438	gene	510				
NIDNPDGF_00438	CDS	510				hypothetical protein
NIDNPDGF_00439	gene	174				
NIDNPDGF_00439	CDS	174				hypothetical protein
NIDNPDGF_00440	gene	324				
NIDNPDGF_00440	CDS	324				hypothetical protein
NIDNPDGF_00441	gene	678	rpe			
NIDNPDGF_00441	CDS	678	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
NIDNPDGF_00442	gene	387	gloA			
NIDNPDGF_00442	CDS	387	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
NIDNPDGF_00443	gene	921	ysdC			
NIDNPDGF_00443	CDS	921	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
NIDNPDGF_00444	gene	360	yecD			
NIDNPDGF_00444	CDS	360	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
NIDNPDGF_00445	gene	324				
NIDNPDGF_00445	CDS	324				hypothetical protein
NIDNPDGF_00446	gene	702				
NIDNPDGF_00446	CDS	702				hypothetical protein
NIDNPDGF_00447	gene	318				
NIDNPDGF_00447	CDS	318				hypothetical protein
NIDNPDGF_00448	gene	990	rnhC			
NIDNPDGF_00448	CDS	990	rnhC	3.1.26.4		Ribonuclease HIII
NIDNPDGF_00449	gene	186				
NIDNPDGF_00449	CDS	186				hypothetical protein
NIDNPDGF_00450	gene	1077				
NIDNPDGF_00450	CDS	1077				hypothetical protein
NIDNPDGF_00451	gene	1278				
NIDNPDGF_00451	CDS	1278				hypothetical protein
NIDNPDGF_00452	gene	825	rhaR_1			
NIDNPDGF_00452	CDS	825	rhaR_1			HTH-type transcriptional activator RhaR
NIDNPDGF_00453	gene	1314				
NIDNPDGF_00453	CDS	1314				hypothetical protein
NIDNPDGF_00454	gene	666				
NIDNPDGF_00454	CDS	666				hypothetical protein
NIDNPDGF_00455	gene	555				
NIDNPDGF_00455	CDS	555				hypothetical protein
NIDNPDGF_00456	gene	192				
NIDNPDGF_00456	CDS	192				hypothetical protein
NIDNPDGF_00457	gene	1365	dapE			
NIDNPDGF_00457	CDS	1365	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
NIDNPDGF_00458	gene	2022				
NIDNPDGF_00458	CDS	2022				hypothetical protein
NIDNPDGF_00459	gene	690	queH			
NIDNPDGF_00459	CDS	690	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
NIDNPDGF_00460	gene	261				
NIDNPDGF_00460	CDS	261				hypothetical protein
NIDNPDGF_00461	gene	372				
NIDNPDGF_00461	CDS	372				hypothetical protein
NIDNPDGF_00462	gene	393				
NIDNPDGF_00462	CDS	393				hypothetical protein
NIDNPDGF_00463	gene	612				
NIDNPDGF_00463	CDS	612				hypothetical protein
NIDNPDGF_00464	gene	900				
NIDNPDGF_00464	CDS	900				hypothetical protein
NIDNPDGF_00465	gene	522				
NIDNPDGF_00465	CDS	522				hypothetical protein
NIDNPDGF_00466	gene	834				
NIDNPDGF_00466	CDS	834				hypothetical protein
NIDNPDGF_00467	gene	561				
NIDNPDGF_00467	CDS	561				hypothetical protein
NIDNPDGF_00468	gene	654				
NIDNPDGF_00468	CDS	654				hypothetical protein
NIDNPDGF_00469	gene	2409				
NIDNPDGF_00469	CDS	2409				hypothetical protein
NIDNPDGF_00470	gene	915				
NIDNPDGF_00470	CDS	915				hypothetical protein
NIDNPDGF_00471	gene	348				
NIDNPDGF_00471	CDS	348				hypothetical protein
NIDNPDGF_00472	gene	234				
NIDNPDGF_00472	CDS	234				hypothetical protein
NIDNPDGF_00473	gene	837	xerC_2			
NIDNPDGF_00473	CDS	837	xerC_2			Tyrosine recombinase XerC
NIDNPDGF_00474	gene	360				
NIDNPDGF_00474	CDS	360				hypothetical protein
NIDNPDGF_00475	gene	243				
NIDNPDGF_00475	CDS	243				hypothetical protein
NIDNPDGF_00476	gene	609				
NIDNPDGF_00476	CDS	609				hypothetical protein
NIDNPDGF_00477	gene	282				
NIDNPDGF_00477	CDS	282				hypothetical protein
NIDNPDGF_00478	gene	1260				
NIDNPDGF_00478	CDS	1260				hypothetical protein
NIDNPDGF_00479	gene	924				
NIDNPDGF_00479	CDS	924				hypothetical protein
NIDNPDGF_00480	gene	660				
NIDNPDGF_00480	CDS	660				hypothetical protein
NIDNPDGF_00481	gene	1071	degA			
NIDNPDGF_00481	CDS	1071	degA		COG1609	HTH-type transcriptional regulator DegA
NIDNPDGF_00482	gene	1086				
NIDNPDGF_00482	CDS	1086				hypothetical protein
NIDNPDGF_00483	gene	1455	rhlE			
NIDNPDGF_00483	CDS	1455	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
NIDNPDGF_00484	gene	363				
NIDNPDGF_00484	CDS	363				hypothetical protein
NIDNPDGF_00485	gene	1242	sasA_1			
NIDNPDGF_00485	CDS	1242	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NIDNPDGF_00486	gene	189				
NIDNPDGF_00486	CDS	189				hypothetical protein
NIDNPDGF_00487	gene	612	mfd			
NIDNPDGF_00487	CDS	612	mfd	3.6.4.-		Transcription-repair-coupling factor
NIDNPDGF_00488	gene	987	surA			
NIDNPDGF_00488	CDS	987	surA	5.2.1.8		Chaperone SurA
NIDNPDGF_00489	gene	921	pdxA2			
NIDNPDGF_00489	CDS	921	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
NIDNPDGF_00490	gene	1290	argA			
NIDNPDGF_00490	CDS	1290	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
NIDNPDGF_00491	gene	762				
NIDNPDGF_00491	CDS	762				hypothetical protein
NIDNPDGF_00492	gene	483				
NIDNPDGF_00492	CDS	483				hypothetical protein
NIDNPDGF_00493	gene	282				
NIDNPDGF_00493	CDS	282				hypothetical protein
NIDNPDGF_00494	gene	237				
NIDNPDGF_00494	CDS	237				hypothetical protein
NIDNPDGF_00495	gene	1074				
NIDNPDGF_00495	CDS	1074				hypothetical protein
NIDNPDGF_00496	gene	417				
NIDNPDGF_00496	CDS	417				hypothetical protein
NIDNPDGF_00497	gene	723				
NIDNPDGF_00497	CDS	723				hypothetical protein
NIDNPDGF_00498	gene	1089				
NIDNPDGF_00498	CDS	1089				hypothetical protein
NIDNPDGF_00499	gene	1185				
NIDNPDGF_00499	CDS	1185		3.6.1.1		Cobalt-dependent inorganic pyrophosphatase
NIDNPDGF_00500	gene	144				
NIDNPDGF_00500	CDS	144				hypothetical protein
NIDNPDGF_00501	gene	168				
NIDNPDGF_00501	CDS	168				hypothetical protein
NIDNPDGF_00502	gene	456				
NIDNPDGF_00502	CDS	456				hypothetical protein
NIDNPDGF_00503	gene	903	RBKS_1			
NIDNPDGF_00503	CDS	903	RBKS_1	2.7.1.15		Ribokinase
NIDNPDGF_00504	gene	444	cmpR_1			
NIDNPDGF_00504	CDS	444	cmpR_1			HTH-type transcriptional activator CmpR
NIDNPDGF_00505	gene	561				
NIDNPDGF_00505	CDS	561				hypothetical protein
NIDNPDGF_00506	gene	696				
NIDNPDGF_00506	CDS	696				hypothetical protein
NIDNPDGF_00507	gene	600				
NIDNPDGF_00507	CDS	600				hypothetical protein
NIDNPDGF_00508	gene	2514	mutS			
NIDNPDGF_00508	CDS	2514	mutS		COG0249	DNA mismatch repair protein MutS
NIDNPDGF_00509	gene	1182	murJ_1			
NIDNPDGF_00509	CDS	1182	murJ_1		COG0728	putative lipid II flippase MurJ
NIDNPDGF_00510	gene	1407				
NIDNPDGF_00510	CDS	1407		3.1.-.-	COG1236	Ribonuclease
NIDNPDGF_00511	gene	264	yafQ_1			
NIDNPDGF_00511	CDS	264	yafQ_1	3.1.-.-	COG3041	mRNA interferase toxin YafQ
NIDNPDGF_00512	gene	261	dinJ			
NIDNPDGF_00512	CDS	261	dinJ			Antitoxin DinJ
NIDNPDGF_00513	gene	144				
NIDNPDGF_00513	CDS	144				hypothetical protein
NIDNPDGF_00514	gene	1020	rbsR_1			
NIDNPDGF_00514	CDS	1020	rbsR_1		COG1609	Ribose operon repressor
NIDNPDGF_00515	gene	927	uxaC			
NIDNPDGF_00515	CDS	927	uxaC	5.3.1.12	COG1904	Uronate isomerase
NIDNPDGF_00516	gene	348				
NIDNPDGF_00516	CDS	348				hypothetical protein
NIDNPDGF_00517	gene	324	pspA			
